"","Date","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","NA","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
"1",2012-01-01,"YAKUTAT AIRPORT",-4.53,5.6,-23.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2012-02-01,"YAKUTAT AIRPORT",0.51,8.9,-13.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2012-03-01,"YAKUTAT AIRPORT",-1.39,10,-13.3,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2012-04-01,"YAKUTAT AIRPORT",3.35,13.9,-7.2,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2012-05-01,"YAKUTAT AIRPORT",5.56,13.9,-1.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2012-06-01,"YAKUTAT AIRPORT",9.22,18.3,0,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2012-07-01,"YAKUTAT AIRPORT",11.15,18.9,3.9,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2012-08-01,"YAKUTAT AIRPORT",11.4,19.4,0.6,"YF",NA,19.57,13.65,21.32,21.32,18.62,NA,NA,19.76,19.28,NA,NA
"9",2012-09-01,"YAKUTAT AIRPORT",9.16,16.1,0.6,"YF",NA,14.23,10.55,14.12,14.12,13.56,10.85,10.85,14.71,13.94,NA,NA
"10",2012-10-01,"YAKUTAT AIRPORT",2.79,11.1,-11.1,"YF",NA,10.46,7.78,10.1,10.1,11.62,9.08,9.28,12.3,12.11,NA,NA
"11",2012-11-01,"YAKUTAT AIRPORT",-0.54,7.8,-13.9,"YF",NA,1.66,3.68,0.08,0.08,1.66,2.52,3.26,0.89,1,NA,NA
"12",2012-12-01,"YAKUTAT AIRPORT",-3.89,5,-16.7,"YF",NA,0.23,1.55,-0.06,-0.06,0.78,1.11,1.22,0.12,0.23,NA,NA
"13",2013-01-01,"YAKUTAT AIRPORT",-0.31,5.6,-14.4,"YF",NA,0.23,0.78,-0.06,-0.06,0.67,0.67,0.67,0.12,0.23,NA,NA
"14",2013-02-01,"YAKUTAT AIRPORT",1.44,6.1,-5.6,"YF",NA,0.23,0.67,2.98,2.98,2.62,0.89,0.45,0.23,0.23,NA,NA
"15",2013-03-01,"YAKUTAT AIRPORT",-1.7,5.6,-13.3,"YF",NA,0.23,0.34,3.8,3.8,3.89,0.34,0.34,0.23,0.23,NA,NA
"16",2013-04-01,"YAKUTAT AIRPORT",0.31,6.1,-11,"YF",NA,0.23,0.23,0.77,0.77,4.83,0.78,0.34,0.23,0.23,NA,NA
"17",2013-05-01,"YAKUTAT AIRPORT",6.48,17.2,-2.7,"YF",NA,12.3,7.28,17.7,17.7,20.61,11.53,7.28,22.52,22.43,NA,NA
"18",2013-06-01,"YAKUTAT AIRPORT",11.87,27.2,2.8,"YF",NA,24.74,19,23.55,23.55,25.22,21.95,22.24,26.88,26.78,NA,NA
"19",2013-07-01,"YAKUTAT AIRPORT",12.9,21.7,4.4,"YF",NA,22.72,17.95,20.7,20.7,NA,18.33,20.52,21.28,23.58,NA,NA
"20",2013-08-01,"YAKUTAT AIRPORT",13.39,20,5.6,"YF",NA,21.76,18.05,20.89,20.89,NA,18.62,20.61,21.09,23,NA,NA
"21",2013-09-01,"YAKUTAT AIRPORT",10.66,16.7,1.1,"YF",NA,17.48,14.32,15.82,15.82,NA,15.28,15.86,16.81,17.57,NA,NA
"22",2013-10-01,"YAKUTAT AIRPORT",6.86,13.3,-2.7,"YF",NA,11.72,9.18,15.95,10.35,NA,9.57,9.96,10.55,11.62,9.18,NA
"23",2013-11-01,"YAKUTAT AIRPORT",-0.49,7.8,-14.3,"YF",NA,NA,6.27,7.08,6.17,NA,6.47,6.47,NA,6.57,6.17,NA
"24",2013-12-01,"YAKUTAT AIRPORT",-2.52,5.6,-16,"YF",NA,NA,0.23,0.89,0.12,NA,2.94,1.87,NA,0.23,0.12,NA
"25",2014-01-01,"YAKUTAT AIRPORT",2.27,10,-6.6,"YF",NA,NA,0.23,0.89,0.12,NA,1.66,1.98,NA,0.67,0.01,NA
"26",2014-02-01,"YAKUTAT AIRPORT",-4.65,8.9,-19.3,"YF",NA,NA,0.23,0.12,0.12,NA,1.55,1,NA,0.23,0.01,NA
"27",2014-03-01,"YAKUTAT AIRPORT",-1.1,8.3,-16.6,"YF",NA,NA,0.23,14.71,0.56,NA,0.56,0.56,NA,6.37,0.01,NA
"28",2014-04-01,"YAKUTAT AIRPORT",2.92,13.3,-7.7,"YF",NA,NA,0.89,18.05,7.78,NA,2.84,5.24,NA,15.47,0.12,NA
"29",2014-05-01,"YAKUTAT AIRPORT",8.42,22.8,-2.1,"YF",NA,NA,15,19.95,22.33,NA,14.8,16.43,NA,22.72,23.2,NA
"30",2014-06-01,"YAKUTAT AIRPORT",9.94,20,1.7,"YF",NA,NA,16.52,21,21.66,NA,15.95,17.38,NA,18.43,20.9,NA
"31",2014-07-01,"YAKUTAT AIRPORT",12.6,20.6,3.9,"YF",NA,NA,17.48,23.77,NA,NA,17.19,18.52,NA,NA,NA,NA
"32",2014-08-01,"YAKUTAT AIRPORT",12.58,17.8,4.4,"YF",NA,NA,16.62,26.1,NA,NA,16.71,19.09,NA,NA,NA,NA
"33",2014-09-01,"YAKUTAT AIRPORT",10.64,18.3,-1,"YF",NA,NA,13.27,20.8,NA,16.33,14.23,14.61,13.75,13.65,NA,NA
"34",2014-10-01,"YAKUTAT AIRPORT",5.39,13.3,-4.3,"YF",NA,NA,NA,14.52,NA,9.96,NA,NA,9.67,9.87,NA,NA
"35",2014-11-01,"YAKUTAT AIRPORT",1.12,7.8,-10.5,"YF",NA,NA,NA,5.14,NA,4.52,NA,NA,5.04,5.76,NA,NA
"36",2014-12-01,"YAKUTAT AIRPORT",0.99,7.8,-12.1,"YF",NA,NA,NA,4.21,NA,2.3,NA,NA,4.31,4.31,NA,NA
"37",2015-01-01,"YAKUTAT AIRPORT",1.86,8.3,-11.6,"YF",NA,NA,NA,3.47,NA,5.04,NA,NA,4.1,2.94,NA,NA
"38",2015-02-01,"YAKUTAT AIRPORT",0.85,8.3,-12.1,"YF",NA,NA,NA,5.24,NA,7.08,NA,NA,4.73,4.21,NA,NA
"39",2015-03-01,"YAKUTAT AIRPORT",1.67,11.7,-15.5,"YF",NA,NA,NA,5.45,NA,8.78,NA,NA,6.57,5.55,NA,NA
"40",2015-04-01,"YAKUTAT AIRPORT",3.9,13.9,-4.3,"YF",NA,NA,NA,10.75,NA,16.14,NA,NA,8.88,9.57,NA,NA
"41",2015-05-01,"YAKUTAT AIRPORT",8.6,19.4,-2.1,"YF",NA,NA,NA,24.64,NA,20.23,NA,NA,13.65,14.42,NA,NA
"42",2015-06-01,"YAKUTAT AIRPORT",12,27.8,4.4,"YF",NA,NA,NA,17.09,NA,17.38,NA,20.61,13.75,14.32,25.71,NA
"43",2015-07-01,"YAKUTAT AIRPORT",13.35,23.9,5,"YF",NA,NA,NA,NA,NA,NA,NA,19.85,NA,NA,26.7,NA
"44",2015-08-01,"YAKUTAT AIRPORT",12.8,20.6,3.9,"YF",NA,NA,NA,NA,NA,NA,NA,18.62,NA,NA,25.16,NA
"45",2015-09-01,"YAKUTAT AIRPORT",8.73,17.2,-1,"YF",NA,9.96,NA,NA,NA,NA,NA,14.04,NA,9.77,17.06,12.21
"46",2015-10-01,"YAKUTAT AIRPORT",6.71,13.9,-2.1,"YF",NA,10.46,NA,NA,NA,NA,NA,9.08,NA,13.17,10.22,10.65
"47",2015-11-01,"YAKUTAT AIRPORT",1.48,8.3,-12.2,"YF",NA,5.45,NA,NA,NA,NA,NA,5.35,NA,5.35,4.61,NA
"48",2015-12-01,"YAKUTAT AIRPORT",-0.05,7.2,-12.1,"YF",NA,0.89,NA,NA,NA,NA,NA,2.94,NA,3.37,3.22,NA
"49",2016-01-01,"YAKUTAT AIRPORT",2.02,9.4,-8.8,"YF",NA,0.56,NA,NA,NA,NA,NA,1.66,NA,0.67,0.6,NA
"50",2016-02-01,"YAKUTAT AIRPORT",2.87,8.9,-8.8,"YF",NA,1,NA,NA,NA,NA,NA,1.87,NA,5.45,0.8,NA
"51",2016-03-01,"YAKUTAT AIRPORT",3.89,13.9,-6.6,"YF",NA,10.65,NA,NA,NA,NA,NA,4.52,NA,15.38,13.04,NA
"52",2016-04-01,"YAKUTAT AIRPORT",5.86,17.8,-2.1,"YF",NA,9.87,NA,NA,NA,NA,NA,7.68,NA,16.43,14.29,NA
"53",2016-05-01,"YAKUTAT AIRPORT",9.3,23.9,0,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25.31,NA
"54",2016-06-01,"YAKUTAT AIRPORT",12.1,26.7,2.8,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2016-07-01,"YAKUTAT AIRPORT",14.1,23.9,6.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2016-08-01,"YAKUTAT AIRPORT",14.28,25.6,5,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2016-09-01,"YAKUTAT AIRPORT",10.03,20,-2.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.27,NA,NA
"58",2016-10-01,"YAKUTAT AIRPORT",4.95,15.6,-4.3,"YF",NA,9.34,NA,NA,NA,NA,6.56,NA,NA,8.37,NA,NA
"59",2016-11-01,"YAKUTAT AIRPORT",2.74,12.2,-9.9,"YF",NA,4.77,NA,NA,NA,NA,5.23,NA,NA,6.33,NA,NA
"60",2016-12-01,"YAKUTAT AIRPORT",-2.01,8.3,-16,"YF",NA,3.75,NA,NA,NA,NA,3.06,NA,NA,4.3,NA,NA
"61",2017-01-01,"YAKUTAT AIRPORT",-2.33,7.2,-16,"YF",NA,2.26,NA,NA,NA,NA,1.32,NA,NA,2.64,NA,NA
"62",2017-02-01,"YAKUTAT AIRPORT",-1.28,7.8,-11.6,"YF",NA,1.34,NA,NA,NA,NA,0.96,NA,NA,1.8,NA,NA
"63",2017-03-01,"YAKUTAT AIRPORT",-3.15,7.2,-19.3,"YF",NA,0.8,NA,NA,NA,NA,0.47,NA,NA,1.13,NA,NA
"64",2017-04-01,"YAKUTAT AIRPORT",5.25,17.2,-5.5,"YF",NA,4.53,NA,NA,NA,NA,2.4,NA,NA,6.79,NA,NA
"65",2017-05-01,"YAKUTAT AIRPORT",7.42,18.9,-2.1,"YF",NA,14.86,NA,NA,NA,NA,12.32,NA,NA,9.53,NA,NA
"66",2017-06-01,"YAKUTAT AIRPORT",11.11,22.2,1.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2017-07-01,"YAKUTAT AIRPORT",13.37,24.4,5.6,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2017-08-01,"YAKUTAT AIRPORT",12.95,19.4,4.4,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2017-09-01,"YAKUTAT AIRPORT",10.64,23.3,1.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2017-10-01,"YAKUTAT AIRPORT",5.99,14.4,-2.8,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2017-11-01,"YAKUTAT AIRPORT",-0.6,10.6,-15.5,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2017-12-01,"YAKUTAT AIRPORT",-0.28,10.6,-15,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2018-01-01,"YAKUTAT AIRPORT",0.32,11.7,-14.4,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2018-02-01,"YAKUTAT AIRPORT",-2.72,6.1,-17.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2018-03-01,"YAKUTAT AIRPORT",0.68,10,-17.1,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2018-04-01,"YAKUTAT AIRPORT",3.84,13.9,-8.2,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2018-05-01,"YAKUTAT AIRPORT",7.89,20.6,-0.5,"YF",NA,14.65,6.23,NA,NA,NA,NA,13.76,NA,NA,NA,NA
"78",2018-06-01,"YAKUTAT AIRPORT",11.02,22.8,1.7,"YF",NA,17.82,9.41,NA,17.99,NA,NA,16.99,NA,NA,NA,NA
"79",2018-07-01,"YAKUTAT AIRPORT",13.88,24.4,3.9,"YF",NA,20.94,11.47,NA,24.41,NA,NA,20.46,NA,NA,NA,NA
"80",2018-08-01,"YAKUTAT AIRPORT",13.66,18.3,3.9,"YF",NA,19.7,11.95,NA,20.77,NA,NA,20.56,NA,NA,NA,NA
"81",2018-09-01,"YAKUTAT AIRPORT",10.3,23.9,-0.5,"YF",NA,15.89,10.15,NA,17.56,NA,NA,23.11,NA,NA,NA,NA
"82",2018-10-01,"YAKUTAT AIRPORT",8.1,18.9,-3.2,"YF",NA,11.03,6.94,9.44,10.59,10.05,NA,11.88,10.59,9.41,8.99,4.97
"83",2018-11-01,"YAKUTAT AIRPORT",3.71,11.1,-6,"YF",NA,5.41,5.57,5.54,6.58,7.17,NA,5.38,7.42,6.51,6.26,7.89
"84",2018-12-01,"YAKUTAT AIRPORT",1.79,9.4,-6.6,"YF",NA,4.06,4.97,4.87,4.64,5.26,NA,3.91,4.97,5.23,4.45,5.54
"85",2019-01-01,"YAKUTAT AIRPORT",-2,8.3,-16.6,"YF",NA,1.56,3.46,2.15,0.66,3.7,NA,1.53,1.8,3.56,1.64,3.46
"86",2019-02-01,"YAKUTAT AIRPORT",-1.78,8.3,-13.2,"YF",NA,1.15,2.37,1.1,0,3.72,NA,0.63,1.4,2.5,1.24,4.4
"87",2019-03-01,"YAKUTAT AIRPORT",3.65,15.6,-10.5,"YF",NA,3.04,1.97,4.09,5.74,7.97,NA,0.02,4.74,4.61,4.51,10.44
"88",2019-04-01,"YAKUTAT AIRPORT",4.79,16.1,-3.2,"YF",NA,12.12,3.48,12.56,15.77,13.35,NA,10.96,15.15,8.04,11.32,14.82
"89",2019-05-01,"YAKUTAT AIRPORT",9.11,18.9,-1,"YF",NA,16.77,7.27,17.68,20.56,16.37,NA,16.27,18.06,14.65,15.84,19.01
"90",2019-06-01,"YAKUTAT AIRPORT",12.78,30.6,3.9,"YF",NA,23.09,18.22,23.83,23.06,20.56,21.32,22.51,21.51,17.18,19.7,24.07
"91",2019-07-01,"YAKUTAT AIRPORT",15.31,25,9.4,"YF",NA,24.44,20.72,25.23,24.99,21.48,23.02,23.71,23.33,18.96,21.72,24.8
"92",2019-08-01,"YAKUTAT AIRPORT",13.87,26.7,0.6,"YF",NA,20.89,17.41,21.15,21.01,19.34,18.72,19.91,18.91,17.82,17.8,22.01
"93",2019-09-01,"YAKUTAT AIRPORT",10.83,20,-1,"YF",NA,17.08,18.15,17.25,15.89,16.89,15.05,15.27,20.36,16.2,NA,19.03
"94",2019-10-01,"YAKUTAT AIRPORT",5.71,13.3,-3.2,"YF",NA,11.37,8.34,10.61,11.15,10.93,10.42,10.37,11.44,10.64,NA,11.61
"95",2019-11-01,"YAKUTAT AIRPORT",3.91,10,-7.7,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2019-12-01,"YAKUTAT AIRPORT",3.13,13.3,-4.3,"YF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
